,prices,hometypes,bathrooms,bedrooms,sizes,garage,school_rating,city,ages
215,1695000.0,Condo,2.0,2.0,1345.0,1.0,4.0, San Francisco,121.0
216,1595000.0,Condo,2.0,2.0,1477.0,1.0,6.3, San Francisco,15.0
217,1175000.0,Condo,2.0,2.0,1146.0,1.0,2.7, San Francisco,119.0
218,1850000.0,Condo,2.0,2.0,1742.0,1.0,6.7, San Francisco,11.0
219,1350000.0,Condo,2.0,2.0,755.0,0.0,3.3, San Francisco,119.0
220,1895000.0,Condo,2.0,2.0,1739.0,1.0,6.0, San Francisco,123.0
221,1595000.0,House,2.0,2.0,1402.0,1.0,8.0, San Francisco,49.0
222,1975000.0,Condo,2.0,2.0,1463.0,1.0,6.0, San Francisco,36.0
223,795000.0,Condo,2.0,2.0,906.0,1.0,5.0, San Francisco,109.0
224,1680000.0,House,2.0,2.0,1964.0,2.0,4.7, San Francisco,85.0
225,445666.0,Condo,2.0,2.0,659.0,0.0,4.0, San Francisco,111.0
226,1495000.0,Condo,2.0,2.0,2047.0,0.0,3.0, San Francisco,18.0
227,899000.0,Condo,2.0,2.0,946.0,1.0,3.3, San Francisco,101.0
228,1345000.0,Condo,2.0,2.0,1284.0,1.0,4.3, San Francisco,13.0
229,999000.0,Condo,2.0,2.0,1320.0,1.0,0.0, San Francisco,73.0
230,999000.0,Condo,2.0,2.0,1320.0,1.0,3.0, San Francisco,72.0
231,1395000.0,Condo,2.0,2.0,1236.0,0.0,3.3, San Francisco,15.0
232,1499000.0,Condo,2.0,2.0,1217.0,0.0,8.0, San Francisco,129.0
233,2395000.0,Condo,2.0,2.0,2497.0,1.0,3.0, San Francisco,19.0
234,1295000.0,Condo,2.0,2.0,1318.0,1.0,4.7, San Francisco,113.0
235,499000.0,Foreclosure,1.0,1.0,510.0,0.0,7.7, San Francisco,113.0
236,875000.0,Condo,3.0,2.0,1134.0,1.0,1.3, San Francisco,116.0
237,2098000.0,Multi-family,3.0,4.0,2647.0,2.0,6.7, San Francisco,58.0
238,1998000.0,Multi-family,2.0,4.0,2640.0,2.0,0.0, San Francisco,72.0
239,975000.0,House,1.0,2.0,1340.0,1.0,4.7, San Francisco,36.0
240,1395000.0,House,2.0,3.0,1980.0,2.0,8.0, San Francisco,50.0
241,1695000.0,Condo,2.0,3.0,1465.0,1.0,8.0, San Francisco,11.0
242,415000.0,Condo,1.0,0.0,347.0,1.0,3.3, San Francisco,102.0
243,975000.0,Condo,1.0,0.0,1020.0,0.0,6.0, San Francisco,27.0
244,750000.0,Condo,1.0,0.0,508.0,0.0,6.3, San Francisco,105.0
245,1695000.0,Condo,1.0,0.0,1380.0,1.0,4.3, San Francisco,36.0
246,531775.0,Townhouse,1.0,0.0,1589.0,1.0,0.7, San Francisco,127.0
247,1495000.0,House,1.0,0.0,1075.0,0.0,7.7, San Francisco,58.0
248,869000.0,Condo,1.0,0.0,1185.0,0.0,3.3, San Francisco,113.0
249,1095000.0,Condo,1.0,0.0,857.0,1.0,3.0, San Francisco,92.0
250,649000.0,Condo,1.0,0.0,629.0,0.0,7.0, San Francisco,40.0
251,1075000.0,Condo,1.0,0.0,1296.0,1.0,2.7, San Francisco,109.0
252,1495000.0,Condo,1.0,0.0,1588.0,0.0,6.3, San Francisco,21.0
253,2195000.0,House,1.0,0.0,2240.0,1.0,7.7, San Francisco,35.0
254,560000.0,Condo,1.0,0.0,414.0,0.0,0.0, San Francisco,20.0
255,2350000.0,Condo,1.0,0.0,2572.0,1.0,6.3, San Francisco,121.0
256,624888.0,Condo,1.0,0.0,592.0,0.0,7.0, San Francisco,83.0
257,1449000.0,Condo,2.0,2.0,1262.0,2.0,2.7, San Francisco,113.0
258,1995000.0,Condo,3.0,2.0,1676.0,2.0,3.3, San Francisco,124.0
259,995000.0,New,2.0,2.0,1001.0,0.0,4.0, San Francisco,125.0
260,1400000.0,House,2.0,4.0,2044.0,1.0,8.0, San Francisco,52.0
261,998000.0,Condo,1.0,1.0,900.0,1.0,6.3, San Francisco,77.0
262,799000.0,Condo,2.0,1.0,1035.0,1.0,2.7, San Francisco,107.0
263,1249000.0,Multi-family,2.0,4.0,2572.0,2.0,8.0, San Francisco,64.0
264,1048000.0,Townhouse,4.0,3.0,1647.0,2.0,3.7, San Francisco,124.0
265,375000.0,Condo,1.0,0.0,298.0,0.0,2.7, San Francisco,102.0
266,998000.0,Condo,2.0,2.0,1160.0,1.0,3.7, San Francisco,113.0
267,1685000.0,Condo,1.0,2.0,1303.0,0.0,3.3, San Francisco,17.0
268,1499000.0,Condo,2.0,3.0,1313.0,1.0,4.0, San Francisco,11.0
269,1899000.0,Condo,2.0,2.0,1366.0,0.0,3.3, San Francisco,127.0
270,2099000.0,Condo,2.0,2.0,1401.0,1.0,3.3, San Francisco,127.0
271,1368000.0,Condo,2.0,2.0,1223.0,0.0,3.3, San Francisco,113.0
272,650000.0,Condo,1.0,0.0,443.0,0.0,7.7, San Francisco,74.0
273,998000.0,House,1.0,0.0,1190.0,1.0,4.3, San Francisco,61.0
274,1350000.0,Condo,1.0,0.0,1120.0,1.0,3.3, San Francisco,120.0
275,920000.0,Condo,1.0,0.0,1096.0,0.0,6.3, San Francisco,74.0
276,1260000.0,Condo,1.0,0.0,1006.0,1.0,3.3, San Francisco,118.0
277,1599000.0,Condo,1.0,0.0,1243.0,1.0,3.3, San Francisco,121.0
278,1350000.0,Condo,1.0,0.0,1136.0,1.0,4.0, San Francisco,107.0
279,570000.0,Foreclosure,1.0,0.0,706.0,1.0,4.7, San Francisco,93.0
280,475000.0,Condo,1.0,0.0,991.0,1.0,3.0, San Francisco,114.0
